Timestamp,Frame,Autos_Lavados
2025-11-28 17:06:43,1,0
2025-11-28 17:06:43,2,0
2025-11-28 17:06:43,3,1
2025-11-28 17:06:43,4,1
2025-11-28 17:06:43,5,1
2025-11-28 17:06:43,6,1
2025-11-28 17:06:43,7,1
2025-11-28 17:06:44,8,1
2025-11-28 17:06:44,9,1
2025-11-28 17:06:44,10,2
2025-11-28 17:06:44,11,2
2025-11-28 17:06:44,12,2
2025-11-28 17:06:44,13,2
2025-11-28 17:06:44,14,2
2025-11-28 17:06:44,15,2
2025-11-28 17:06:44,16,2
2025-11-28 17:06:44,17,2
2025-11-28 17:06:44,18,2
2025-11-28 17:06:44,19,2
2025-11-28 17:06:44,20,2
2025-11-28 17:06:44,21,2
2025-11-28 17:06:44,22,2
2025-11-28 17:06:44,23,2
2025-11-28 17:06:44,24,2
2025-11-28 17:06:44,25,2
2025-11-28 17:06:44,26,2
2025-11-28 17:06:44,27,2
2025-11-28 17:06:44,28,2
2025-11-28 17:06:44,29,2
2025-11-28 17:06:44,30,2
2025-11-28 17:06:44,31,2
2025-11-28 17:06:44,32,2
2025-11-28 17:06:44,33,2
2025-11-28 17:06:45,34,2
2025-11-28 17:06:45,35,2
2025-11-28 17:06:45,36,2
2025-11-28 17:06:45,37,2
2025-11-28 17:06:45,38,2
2025-11-28 17:06:45,39,2
2025-11-28 17:06:45,40,2
2025-11-28 17:06:45,41,2
2025-11-28 17:06:45,42,2
2025-11-28 17:06:45,43,2
2025-11-28 17:06:45,44,2
2025-11-28 17:06:45,45,2
2025-11-28 17:06:45,46,2
2025-11-28 17:06:45,47,2
2025-11-28 17:06:45,48,2
2025-11-28 17:06:45,49,2
2025-11-28 17:06:45,50,2
2025-11-28 17:06:45,51,2
2025-11-28 17:06:45,52,2
2025-11-28 17:06:45,53,2
2025-11-28 17:06:45,54,2
2025-11-28 17:06:45,55,2
2025-11-28 17:06:45,56,2
2025-11-28 17:06:45,57,2
2025-11-28 17:06:45,58,2
2025-11-28 17:06:45,59,2
2025-11-28 17:06:45,60,2
2025-11-28 17:06:46,61,2
2025-11-28 17:06:46,62,2
2025-11-28 17:06:46,63,2
2025-11-28 17:06:46,64,2
2025-11-28 17:06:46,65,2
2025-11-28 17:06:46,66,2
2025-11-28 17:06:46,67,2
2025-11-28 17:06:46,68,2
2025-11-28 17:06:46,69,2
2025-11-28 17:06:46,70,2
2025-11-28 17:06:46,71,2
2025-11-28 17:06:46,72,2
2025-11-28 17:06:46,73,2
2025-11-28 17:06:46,74,2
2025-11-28 17:06:46,75,2
2025-11-28 17:06:46,76,2
2025-11-28 17:06:46,77,2
2025-11-28 17:06:46,78,2
2025-11-28 17:06:46,79,2
2025-11-28 17:06:46,80,2
2025-11-28 17:06:46,81,2
2025-11-28 17:06:46,82,2
2025-11-28 17:06:46,83,2
2025-11-28 17:06:46,84,2
2025-11-28 17:06:46,85,2
2025-11-28 17:06:46,86,2
2025-11-28 17:06:46,87,2
2025-11-28 17:06:46,88,2
2025-11-28 17:06:47,89,2
2025-11-28 17:06:47,90,2
2025-11-28 17:06:47,91,2
2025-11-28 17:06:47,92,2
2025-11-28 17:06:47,93,2
2025-11-28 17:06:47,94,2
2025-11-28 17:06:47,95,2
2025-11-28 17:06:47,96,2
2025-11-28 17:06:47,97,2
2025-11-28 17:06:47,98,2
2025-11-28 17:06:47,99,2
2025-11-28 17:06:47,100,2
2025-11-28 17:06:47,101,2
2025-11-28 17:06:47,102,2
2025-11-28 17:06:47,103,2
2025-11-28 17:06:47,104,2
2025-11-28 17:06:47,105,2
2025-11-28 17:06:47,106,2
2025-11-28 17:06:47,107,2
2025-11-28 17:06:47,108,2
2025-11-28 17:06:48,109,2
2025-11-28 17:06:48,110,2
2025-11-28 17:06:48,111,2
2025-11-28 17:06:48,112,2
2025-11-28 17:06:48,113,2
2025-11-28 17:06:48,114,2
2025-11-28 17:06:48,115,2
2025-11-28 17:06:48,116,2
2025-11-28 17:06:48,117,2
2025-11-28 17:06:48,118,2
2025-11-28 17:06:48,119,2
2025-11-28 17:06:48,120,2
2025-11-28 17:06:48,121,2
2025-11-28 17:06:48,122,2
2025-11-28 17:06:48,123,2
2025-11-28 17:06:48,124,2
2025-11-28 17:06:48,125,2
2025-11-28 17:06:49,126,2
2025-11-28 17:06:49,127,2
2025-11-28 17:06:49,128,2
2025-11-28 17:06:49,129,2
2025-11-28 17:06:49,130,2
2025-11-28 17:06:49,131,2
2025-11-28 17:06:49,132,2
2025-11-28 17:06:49,133,2
2025-11-28 17:06:49,134,2
2025-11-28 17:06:49,135,2
2025-11-28 17:06:49,136,2
2025-11-28 17:06:49,137,2
2025-11-28 17:06:49,138,2
2025-11-28 17:06:49,139,2
